CITY,DISTRICT,NEIGHBOURHOOD,AIR CONDITIONING,FURNISHED,CAR PARK,CENTRAL HEATING,GAS COMBI,UNDERFLOOR HEATING,UNDERFLOOR COOLING,REALTOR FEE,TOTAL FLOORS,COMPLETION DATE,SUBTYPE,PROPERTY SIZE,STOREYS,BEDROOM,BATHROOM,BALCONY,FLOOR,PRICE
Trabzon,Yomra,Sancak,0,0,1,0,1,0,0,%2,10,7 / 2023,Middle Floor,85.0,1,1,1,1,1,50.5
Antalya,Aksu,Altıntaş,1,0,1,0,0,0,0,FREE,5,8 / 2023,Ground Floor,96.0,1,2,2,1,,155.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,0,0,FREE,5,8 / 2023,Middle Floor,96.0,1,2,2,2,,170.0
Antalya,Döşemealtı,Yalınlı,1,0,1,0,0,1,0,%2,2,12 / 2021,Detached Villa,400.0,2,5,4,2,,962.0
Yalova,Armutlu,Bayır,0,0,1,0,1,0,0,FREE,5,3 / 2024,Duplex,200.0,2,5,2,2,5,205.0
Antalya,Serik,Belek,1,0,1,0,0,0,0,FREE,2,9 / 2023,Detached Villa,330.0,2,5,6,2,,1000.0
Yalova,Çınarcık,Teşvikiye Bld. (Karşıyaka Mh.),0,1,1,0,1,0,0,%2,6,4 / 2018,Middle Floor,65.0,1,1,1,1,1,60.5
Yalova,Çınarcık,Taşliman,0,0,1,0,1,1,0,FREE,4,1 / 2024,Middle Floor,85.0,1,2,1,1,1,73.5
Yalova,Çınarcık,Taşliman,0,0,1,0,1,1,0,FREE,4,1 / 2024,Middle Floor,120.0,1,3,1,1,2,119.0
Yalova,Çınarcık,Taşliman,0,0,1,0,1,1,0,FREE,4,1 / 2024,Duplex,210.0,2,4,2,1,4,176.0
Yalova,Çınarcık,Taşliman,0,0,1,0,1,1,0,FREE,4,1 / 2024,Duplex,280.0,2,5,2,2,4,205.0
İstanbul,Fatih,Topkapı,1,1,0,1,0,0,0,%2,5,3 / 2000,Building,350.0,5,12,5,,,1565.0
